file,kannada,roman
cad_ccc.ogg,ಭೌ,bhau
cad_c82.ogg,ಭಂ,bham
cad_c83.ogg,ಭಃ,bhah
cae_cbe.ogg,ಮಾ,maa
cae_cbf.ogg,ಮಿ,mi
cae_cc0.ogg,ಮೀ,mii
cae_cc1.ogg,ಮು,mu
cae_cc2.ogg,ಮೂ,muu
cae_cc3.ogg,ಮೃ,mru
cae_cc6.ogg,ಮೆ,me
cae_cc7.ogg,ಮೇ,mee
cae_cc8.ogg,ಮೈ,mai
cae_cca.ogg,ಮೊ,mo
cae_ccb.ogg,ಮೋ,moo
cae_ccc.ogg,ಮೌ,mau
cae_c82.ogg,ಮಂ,mam
cae_c83.ogg,ಮಃ,mah
caf_cbe.ogg,ಯಾ,yaa
caf_cbf.ogg,ಯಿ,yi
caf_cc0.ogg,ಯೀ,yii
caf_cc1.ogg,ಯು,yu
caf_cc2.ogg,ಯೂ,yuu
caf_cc3.ogg,ಯೃ,yru
caf_cc6.ogg,ಯೆ,ye
caf_cc7.ogg,ಯೇ,yee
caf_cc8.ogg,ಯೈ,yai
caf_cca.ogg,ಯೊ,yo
caf_ccb.ogg,ಯೋ,yoo
caf_ccc.ogg,ಯೌ,yau
caf_c82.ogg,ಯಂ,yam
caf_c83.ogg,ಯಃ,yah
cb0_cbe.ogg,ರಾ,raa
cb0_cbf.ogg,ರಿ,ri
cb0_cc0.ogg,ರೀ,rii
cb0_cc1.ogg,ರು,ru
cb0_cc2.ogg,ರೂ,ruu
cb0_cc3.ogg,ರೃ,rru
cb0_cc6.ogg,ರೆ,re
cb0_cc7.ogg,ರೇ,ree
cb0_cc8.ogg,ರೈ,rai
cb0_cca.ogg,ರೊ,ro
cb0_ccb.ogg,ರೋ,roo
cb0_ccc.ogg,ರೌ,rau
cb0_c82.ogg,ರಂ,ram
cb0_c83.ogg,ರಃ,rah
cb2_cbe.ogg,ಲಾ,laa
cb2_cbf.ogg,ಲಿ,li
cb2_cc0.ogg,ಲೀ,lii
cb2_cc1.ogg,ಲು,lu
cb2_cc2.ogg,ಲೂ,luu
cb2_cc3.ogg,ಲೃ,lru
cb2_cc6.ogg,ಲೆ,le
cb2_cc7.ogg,ಲೇ,lee
cb2_cc8.ogg,ಲೈ,lai
cb2_cca.ogg,ಲೊ,lo
cb2_ccb.ogg,ಲೋ,loo
cb2_ccc.ogg,ಲೌ,lau
cb2_c82.ogg,ಲಂ,lam
cb2_c83.ogg,ಲಃ,lah
cb5_cbe.ogg,ವಾ,vaa
cb5_cbf.ogg,ವಿ,vi
cb5_cc0.ogg,ವೀ,vii
cb5_cc1.ogg,ವು,vu
cb5_cc2.ogg,ವೂ,vuu
cb5_cc3.ogg,ವೃ,vru
cb5_cc6.ogg,ವೆ,ve
cb5_cc7.ogg,ವೇ,vee
cb5_cc8.ogg,ವೈ,vai
cb5_cca.ogg,ವೊ,vo
cb5_ccb.ogg,ವೋ,voo
cb5_ccc.ogg,ವೌ,vau
cb5_c82.ogg,ವಂ,vam
cb5_c83.ogg,ವಃ,vah
cb6_cbe.ogg,ಶಾ,shaa
cb6_cbf.ogg,ಶಿ,shi
cb6_cc0.ogg,ಶೀ,shii
cb6_cc1.ogg,ಶು,shu
cb6_cc2.ogg,ಶೂ,shuu
cb6_cc3.ogg,ಶೃ,shru
cb6_cc6.ogg,ಶೆ,she
cb6_cc7.ogg,ಶೇ,shee
cb6_cc8.ogg,ಶೈ,shai
cb6_cca.ogg,ಶೊ,sho
cb6_ccb.ogg,ಶೋ,shoo
cb6_ccc.ogg,ಶೌ,shau
cb6_c82.ogg,ಶಂ,sham
cb6_c83.ogg,ಶಃ,shah
cb7_cbe.ogg,ಷಾ,Shaa
cb7_cbf.ogg,ಷಿ,Shi
cb7_cc0.ogg,ಷೀ,Shii
cb7_cc1.ogg,ಷು,Shu
cb7_cc2.ogg,ಷೂ,Shuu
cb7_cc3.ogg,ಷೃ,Shru
cb7_cc6.ogg,ಷೆ,She
cb7_cc7.ogg,ಷೇ,Shee
cb7_cc8.ogg,ಷೈ,Shai
cb7_cca.ogg,ಷೊ,Sho
cb7_ccb.ogg,ಷೋ,Shoo
cb7_ccc.ogg,ಷೌ,Shau
cb7_c82.ogg,ಷಂ,Sham
cb7_c83.ogg,ಷಃ,Shah
cb8_cbe.ogg,ಸಾ,saa
cb8_cbf.ogg,ಸಿ,si
cb8_cc0.ogg,ಸೀ,sii
cb8_cc1.ogg,ಸು,su
cb8_cc2.ogg,ಸೂ,suu
cb8_cc3.ogg,ಸೃ,sru
cb8_cc6.ogg,ಸೆ,se
cb8_cc7.ogg,ಸೇ,see
cb8_cc8.ogg,ಸೈ,sai
cb8_cca.ogg,ಸೊ,so
cb8_ccb.ogg,ಸೋ,soo
cb8_ccc.ogg,ಸೌ,sau
cb8_c82.ogg,ಸಂ,sam
cb8_c83.ogg,ಸಃ,sah
cb9_cbe.ogg,ಹಾ,haa
cb9_cbf.ogg,ಹಿ,hi
cb9_cc0.ogg,ಹೀ,hii
cb9_cc1.ogg,ಹು,hu
cb9_cc2.ogg,ಹೂ,huu
cb9_cc3.ogg,ಹೃ,hru
